atoll,region,seabird_data,lat,long,number_islets,annual_precipitation_mm,land_area_sqkm,lagoon_area_sqkm,tropical_storms_50km,hurricanes_50km,hurricanes_100km,hurricanes_200km,distance_nearest_atoll_km,nearest_high_island,distance_nearest_high_island_km,distance_continent_km,human_population
Nonouti,Micronesia,yes,-0.6534,174.3477,15,2132,21.02,487,0,0,0,0,61,Nauru,820,3531,2792
Nuguria,Melanesia,yes,-3.3195,154.6854,29,3000,20,130,0,0,0,0,21,New_Ireland,203,1566,50
Nui,Polynesia,no,-7.2258,177.1546,21,3304,3.37,7,0,0,0,0,153,Rotuma,581,3272,610
Nukapu,Melanesia,yes,-10.0906,166.0389,1,3000,0.7,2,2,0,0,3,13,Nendo,62,2180,100
Nukufetau,Polynesia,no,-7.9942,178.3778,33,2667,3.14,104,0,0,0,1,63,Wallis,786,3323,597
Nukulaelae,Polynesia,yes,-9.3872,179.8424,15,3039,1.97,28,4,2,3,5,116,Rotuma,455,3433,300
Nukumanu,Melanesia,yes,-4.5429,159.3974,22,3000,4.6,227,0,0,0,0,52,Choiseul,368,1926,730
Nukunonu,Polynesia,yes,-9.19467,-171.8549752,30,2529,5.5,100,0,0,1,2,64,Samoa,477,4141,448
Nukuoro,Micronesia,yes,3.8478,154.9414,40,4125,1.7,28,1,0,0,1,211,Pohnpei,483,2126,372
Nukutepipi,Polynesia,yes,-20.7045,-143.052,4,1693,2.3,2,0,1,1,3,24,Tahiti,712,6404,0
Numa_Miombilou,Melanesia,yes,-10.228,166.2353,4,3000,6.12,111,1,0,0,3,26,Nendo,51,2143,5600
Nupani,Melanesia,yes,-10.0834,165.729,2,4000,0.21,11,3,0,0,4,34,Nendo,66,2101,100
Oeno,Polynesia,yes,-23.9256146,-130.7288579,2,1801,0.69,7,1,0,0,0,384,Pitcairn,140,7423,0
Olimarao,Micronesia,no,7.6901,145.8716,2,3195,0.2,7,8,4,6,18,37,Chuuk,628,2065,0
Onotoa,Micronesia,yes,-1.88605,175.56633,3,1639,15.62,87,0,0,0,0,64,Nauru,968,3528,1393
Ontong_Java,Melanesia,yes,-5.349,159.3282,122,3200,12,1283,0,0,0,0,74,Santa_Isabel,265,1862,2085
Oroluk,Micronesia,yes,7.5207959,155.2777433,1,4100,0.13,427,6,2,5,9,123,Pohnpei,318,2464,0
Orona,Polynesia,yes,-4.5118,-172.1798,35,1171,3.9,29,0,0,0,0,101,Samoa,986,4386,0
Ouvéa,Melanesia,yes,-20.5686,166.4243,31,1250,132.1,805,15,6,9,28,32,New_Caledonia,111,1481,340
