atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Nukumanu,-1.00,-1.00,,,-1.00,,,,,,,,-1.00,-1.00,,-1.00,,,,,,,,,,,,,,,,-1.00,-1.00,,,-1.00,-1.00
Nukunonu,20000.00,10000.00,,,10000.00,3200.00,,,,,,,100.00,,,10.00,20.00,,,,,,,,,,,,,,,-1.00,,,,100.00,1500.00
Nukuoro,-1.00,-1.00,,,,,,,,,,,-1.00,-1.00,,-1.00,,,,,,,,,,,,,,,,,,,,,-1.00
Nukutepipi,-1.00,-1.00,,,36434.00,,,,,,,,,,,,-1.00,,,,,,,,,,,,,,,,36434.00,,,,36434.00
Numa_Miombilou,300.00,500.00,,,-1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nupani,300.00,500.00,,,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,200.00,10.00,,,100.00,200.00
Oeno,1600.00,200.00,,,2000.00,-1.00,,,,,,,,,,,1440.00,,,,,,200.00,,25000.00,,15.00,,,100.00,,,200.00,550.00,,,500.00
Onotoa,-1.00,-1.00,,,-1.00,-1.00,,,,,,,-1.00,-1.00,,,-1.00,,,,,,,,,,,,,,,-1.00,-1.00,,,,-1.00
Ontong_Java,-1.00,-1.00,,,-1.00,-1.00,,,,,,,-1.00,-1.00,,-1.00,,,,,,,,,,,,,,,,,,,,,-1.00
Oroluk,-1.00,-1.00,,,-1.00,,,,,,,,-1.00,,,,,,,,,,,,,,,,,,,,-1.00,,,-1.00,-1.00
Orona,20.00,4000.00,,,600.00,120000.00,,,,,,,,,,,100.00,,,,,,,,,,,,,,,1200.00,100.00,2.00,,,1000.00
Ouvéa,,,,,,,,,,,,2.00,130.00,500.00,,,,,,,,,,,,,,,1000.00,,,10.00,,,,,
Pakin,-1.00,-1.00,,,-1.00,,,,,,,,-1.00,-1.00,,,,,,,,,,,,,,,,,,,,,,,
Palmerston,-1.00,,,,36434.00,,,,,,,,,,,,-1.00,,,,,,,,,,,,,,,,,,,,
Palmyra,10000.00,20000.00,,,3000.00,876000.00,,,,,,,,-1.00,,10.00,261.00,,,,,,,,,,,,,,,,-1.00,-1.00,,-1.00,25000.00
Paracel,,,,,,400.00,,,,,,5.00,60.00,500.00,,,,,,,,,,,,,,,,,,,16.00,,,,71000.00
Paraoa,,,,,494.00,,,,,,,,,,,,18.00,,,,,,,,,,,,,,,,40.00,,,,72.00
Pearl_and_Hermes,8395.00,4300.00,,,10.00,80000.00,1860.00,,,,,,,,,,159.00,13820.00,13292.00,,,7500.00,,,,1000.00,,10.00,26500.00,50.00,,,890.00,585.00,,200.00,200.00
Peremul_Par,,,,,,,,,,,,,,70.00,70.00,,,,,,,,,,,,,,,,,,,,,,
Peros_Banhos,1582.00,,41700.00,,616.00,290000.00,,52.00,,,,14.00,66.00,144.00,,4.00,,,,,,,,,,,,,4.00,,20.00,10.00,160.00,48.00,,8.00,2724.00
Pinaki,-1.00,36434.00,,,-1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pingelap,-1.00,-1.00,,,-1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pukapuka,-1.00,36434.00,,,-1.00,-1.00,,,,,,,,,,-1.00,,,,,,,,,,,,,,,,-1.00,,,,,-1.00
Puka-Puka,,,,,-1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.00,-1.00
