atoll,region,species,nbirds
Pearl_and_Hermes,Polynesia,Ardenna_pacifica,26500.0
Peros_Banhos,Indian_Ocean,Ardenna_pacifica,4.0
Rawaki,Polynesia,Ardenna_pacifica,500.0
Surprise,Melanesia,Ardenna_pacifica,55160.0
Wake,Micronesia,Ardenna_pacifica,176.0
Enderbury,Polynesia,Puffinus_nativitatis,4.0
French_Frigate_Shoals,Polynesia,Puffinus_nativitatis,50.0
Johnston,Polynesia,Puffinus_nativitatis,120.0
Kiritimati,Polynesia,Puffinus_nativitatis,5500.0
Laysan,Polynesia,Puffinus_nativitatis,8000.0
Midway,Polynesia,Puffinus_nativitatis,400.0
Pearl_and_Hermes,Polynesia,Puffinus_nativitatis,50.0
Rawaki,Polynesia,Puffinus_nativitatis,1000.0
Enderbury,Polynesia,Puffinus_bailloni,100.0
Europa,Indian_Ocean,Puffinus_bailloni,100.0
Kiritimati,Polynesia,Puffinus_bailloni,3600.0
McKean,Polynesia,Puffinus_bailloni,120.0
Peros_Banhos,Indian_Ocean,Puffinus_bailloni,20.0
Rawaki,Polynesia,Puffinus_bailloni,1600.0
Aldabra,Indian_Ocean,Fregata_ariel,7000.0
Bellona,Melanesia,Fregata_ariel,800.0
Caroline,Polynesia,Fregata_ariel,112.0
Enderbury,Polynesia,Fregata_ariel,4000.0
Europa,Indian_Ocean,Fregata_ariel,4000.0
Helen,Micronesia,Fregata_ariel,100.0
Kiritimati,Polynesia,Fregata_ariel,100.0
Malden,Polynesia,Fregata_ariel,30000.0
Manra,Polynesia,Fregata_ariel,200.0
Maupihaa,Polynesia,Fregata_ariel,228.0
McKean,Polynesia,Fregata_ariel,85000.0
Nikumaroro,Polynesia,Fregata_ariel,120.0
Nupani,Melanesia,Fregata_ariel,200.0
Orona,Polynesia,Fregata_ariel,1200.0
Ouvéa,Melanesia,Fregata_ariel,10.0
Peros_Banhos,Indian_Ocean,Fregata_ariel,10.0
Rawaki,Polynesia,Fregata_ariel,42000.0
