atoll,Anous_ceruleus,Bulweria_bulwerii,Pterodroma_heraldica,Sula_sula,Anous_stolidus,Thalasseus_bergii,Nesofregetta_fuliginosa,Fregata_ariel,Sula_dactylatra,Gygis_alba,Sternula_saundersi,Pterodroma_neglecta,Phoebastria_immutabilis,Puffinus_bailloni,Phaethon_rubricauda,Phoebastria_nigripes,Sula_leucogaster,Puffinus_nativitatis,Pterodroma_hypoleuca,Sterna_sumatrana,Thalasseus_bengalensis,Sterna_dougallii,Pterodroma_alba,Phaethon_lepturus,Sula_granti,Hydrobates_tristrami,Phoebastria_albatrus,Anous_minutus,Onychoprion_fuscatus,Fregata_minor,Ardenna_pacifica,Sternula_nereis,Onychoprion_lunatus,Anous_tenuirostris,Hydroprogne_caspia,Onychoprion_anaethetus,Pterodroma_ultima
Malum,0.63175625,0.25551875,0.0018375,0.0478125,0.4609125,0.00175,0.16251875,0.1448,0.02005,0.035475,0.00031875,0.0001875,0.00051875,0.00206875,0.19830625,0.5388375,0.0573875,0.00310625,0.0005,0.15240625,0.20995625,0.55531875,0.0018875,0.27625625,0.000125,0.24183125,0.00225,0.02633125,0.00475,0.139,0.2402625,0.01044375,0.02038125,0.0015625,0.00259375,0.0086625,0.01489375
Manuae,0.93240625,0.53723125,0.00698125,0.00465625,0.0009875,0.7531625,0.00201875,0.08346875,0.203175,0.0052,0.00218125,0.02246875,0.02400625,0.0071375,0.76883125,0.0110875,0.53555,0.0108,0.0744,0.03324375,0.57241875,0.038975,0.00165625,0.147175,0.474475,0.001125,0.024425,0.78328125,0.04965625,0.00265,0.88019375,0.02575625,0.001825,0.05076875,0.001475,0.05091875,0.08205
Marokau,0.94766875,0.29894375,0.005525,0.00189375,0.00155,0.7612625,0.00178125,0.19454375,0.25735,0.0012,0.00926875,0.0091125,0.00544375,0.0058,0.3401375,0.0049375,0.21375,0.0232625,0.03858125,0.02859375,0.3992875,0.0123625,0.00629375,0.136225,0.441825,0.00181875,0.00536875,0.8644375,0.128975,0.00205625,0.9381625,0.042475,0.001225,0.2274625,0.0015625,0.0740625,0.03326875
Marutea_Nord,0.9311125,0.31445625,0.00363125,0.00156875,0.00115625,0.692925,0.00120625,0.15604375,0.32073125,0.00105625,0.008625,0.00565,0.00409375,0.0036,0.2802,0.0037125,0.20064375,0.02180625,0.02120625,0.0155375,0.379125,0.00985,0.00590625,0.13408125,0.37235625,0.00124375,0.003725,0.83441875,0.13193125,0.00148125,0.9229625,0.0240375,0.0013875,0.16459375,0.0014125,0.0750875,0.01548125
Meemu,0.0200375,0.02341875,0.89388125,0.54286875,0.0261875,0.86869375,0.17766875,0.0031,0.94749375,0.49468125,0.45459375,0.003325,0.01861875,0.037225,0.03659375,0.53410625,0.415625,0.004125,0.0046125,0.00511875,0.78575625,0.8757375,0.8101375,0.00059375,0.55389375,0.5964875,0.236075,0.00640625,0.003575,0.1874875,0.608425,0.1524,0.951725,0.0051375,0.91344375,0.3660375,0.09729375
Miladhunmadulu,0.04019375,0.02796875,0.83664375,0.4483875,0.03680625,0.901625,0.32370625,0.01333125,0.93405625,0.41594375,0.38983125,0.00385,0.0132,0.05076875,0.0171875,0.4441375,0.3127875,0.0073,0.00929375,0.0149,0.82980625,0.697525,0.710025,0.00038125,0.50448125,0.62001875,0.1593875,0.0129,0.0275375,0.16450625,0.55428125,0.227075,0.85881875,0.02214375,0.89475625,0.51721875,0.18008125
Minicoy,0.01063125,0.03548125,0.957075,0.56933125,0.0148875,0.78650625,0.15373125,0.0030125,0.93681875,0.64263125,0.5044375,0.0088625,0.11324375,0.15075625,0.0868375,0.71779375,0.68371875,0.00520625,0.0129125,0.01039375,0.75184375,0.95878125,0.80646875,0.00053125,0.4735875,0.5820375,0.55071875,0.00373125,0.001875,0.255625,0.45309375,0.28015625,0.97860625,0.0023125,0.9066,0.27134375,0.16784375
Motutunga,0.9182625,0.32109375,0.0024,0.00171875,0.00085,0.6293,0.0011,0.13570625,0.38339375,0.0011375,0.010375,0.005525,0.0037375,0.002525,0.31011875,0.003575,0.2080625,0.0240375,0.01681875,0.01031875,0.33716875,0.00939375,0.00756875,0.1383125,0.342925,0.0012625,0.003575,0.7984625,0.11913125,0.0015375,0.91174375,0.0171,0.00178125,0.1242625,0.001575,0.0752125,0.01080625
Murilo,0.7325625,0.006225,0.11961875,0.003475,0.77250625,0.00198125,0.02339375,0.00109375,0.00539375,0.02640625,0.00171875,0.08155625,0.03999375,0.00048125,0.017525,0.1506,0.0084875,0.108725,0.00524375,0.00038125,0.01690625,0.27196875,0.36206875,0.00133125,0.003675,0.01055625,0.0028,0.7539125,0.00521875,0.00145,0.056,0.00070625,0.006275,0.0138375,0.5336375,0.00528125,0.01845625
Namonuito,0.77545625,0.01333125,0.13311875,0.00516875,0.75863125,0.00301875,0.0360625,0.0030375,0.0075625,0.03009375,0.00153125,0.06514375,0.04323125,0.00078125,0.023,0.15213125,0.01254375,0.1234875,0.0039125,0.0009125,0.0329875,0.2564875,0.36275,0.0011375,0.00448125,0.01264375,0.0028875,0.78808125,0.013075,0.001125,0.05094375,0.00094375,0.0063375,0.02571875,0.5685625,0.0071,0.01329375
