atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Ontong_Java,-1,-1,,,-1,-1,,,,,,,-1,-1,,-1,,,,,,,,,,,,,,,,,,,,,-1
Oroluk,-1,-1,,,-1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,-1,,,-1,-1
Orona,20,4000,,,600,1200000,,,,,,,,,,,100,,,,,,,,,,,,,,,1200,100,2,,,1000
Ouvéa,,,,,,,,,,,,2,136,865,,,,,,,,,,,,,,,1000,,,9,,,,,
Pakin,-1,-1,,,-1,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,
Palmerston,-1,,,,-1,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
Palmyra,564,6498,,2,508,876000,,,,,,,,,,8,261,,,,,,,,,,,,2,,,,400,70,,742,25000
Paraoa,-1,-1,,,494,,,,,,,,,,,,18,,,,,,,,,,,,,,,-1,40,-1,,,72
Pearl_and_Hermes,4000,200,,,30,80000,1400,,,,,,,,,,100,14000,12200,,,1000,,,,1000,,20,15000,20,,,700,300,,110,100
Peremul_Par,,,,,,,,,,,,,,70,70,,,,,,,,,,,,,,,,,,,,,,
Peros_Banhos,1582,,41700,,616,290000,,52,,,,14,66,144,,4,,,,,,,,,,,,,4,,20,10,160,48,,8,4724
Pinaki,-1,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pingelap,-1,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pukapuka,-1,-1,,,-1,-1,,,,,,,,,,-1,,,,,,,,,,,,,,,,-1,,,,,-1
Puka-Puka,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1
Pukarua,-1,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,-1
Qelelevu,-1,186334,,,3480,,,,,,,,-1,,,,,,,,,,,,,,,,,,,10080,,,,5200,9500
Rakahanga,-1,-1,,,-1,,,,,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,
Rangiroa,-1,-1,,-1,-1,-1,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,,,-1,-1
Raraka,2000,2000,,16,1500,,,,,,,,,66,,,,,,,,,,,,,,,,,,420,150,,,-1,-1
Raroia,-1,-1,,-1,-1,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,-1
Rawaki,8000,,,5000,40,1200000,6000,,,,,,,,,,200,,,,100,,,,,,100,100,500,1600,1600,30000,20,2000,,48,20
Reao,-1,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Reitoru,660,-1,,,1184,,,,,,,,,,,,78,,,,,,,,,,,,,,,1200,810,-1,,,612
Rongelap,-1,-1,,,-1,,,,,,,,-1,-1,,,,,,,,,,,,,,,-1,,,,-1,,,,-1
Rongerik,500,-1,,,2000,-1,,,,,,,65,27,,,,,,,,,,,,,,,-1,,,,-1,,,80,1200
Rose,56,1232,,,10,135000,6,,,,,,,,,,42,,,,,,,,,,,,,,,62,48,24,,24,320
Saloman,502,,4240,,246,,,,,,,6,154,50,,20,,,,,,,,,,,,,,,,,,,,8,892
Sapwuahfik,-1,-1,,,-1,,,,,,,,-1,-1,,-1,,,,,,,,,,,,,,,,,,,,,
Satawan,-1,-1,,,-1,,,,,,,,-1,-1,,-1,,,,,,,,,,,,,,,,,-1,,,-1,-1
Scilly,36,176,,-1,303,,,,,,,,,5,,,,,,,,,,,,,,,,,,-1,-1,,,10,48
Sorol,300,600,,,36,120,,,,,,,12,170,,,2,,,,,,,,,,,,,,,,35,8,,215,525
St_Joseph,-1,,,,150,,,,,,,700,20,,,,,,,,,,,,,,,,57310,,,,,,,-1,
Starbuck,,,,,,3000000,-1,,,,,,,,,,10,,,,,,,,,,,,,,,15,,,,-1,-1
Suheli_Par,150,,,,,,,,,,,,,750,1000,,,,,,,,,,,,,,,,,,,,,,
Surprise,737,6200,,,,26774,,2,-1,,,,82,397,,,6,,,,,,,,,,,,55160,,,2481,378,250,,2507,3355
Suwarrow,544,140,,,,176088,,,,,,,,,,,764,,,,,,,,,,,,,,,8500,250,42,,150,1782
Swains,474,7092,,,4413,27,,,,,,,,,,3,,,,,,,,,,,,,,,,27,11,,,2,864
Tabiteuea,-1,-1,,,-1,,-1,,,,,,,-1,,,,,,,-1,,,,,,,,,,,-1,,,,-1,-1
Tabuaeran,2000,2000,,-1,2000,-1,,,,,,,,,,50,,,,,,,,,,,,,,,,-1,1000,,,-1,3000
Tahanea,860,540,,,560,,,,,,,,,,,,,,,,,,,,,,,,,,,310,60,,,55,175
Taiaro,-1,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Taka,780,1040,,,750,74000,,,,,,,33,57,,,54,,,,,,,,,,,,24,,,,60,,,30,75
Takapoto,-1,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Takaroa,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takume,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Takuu,100,1000,,,50,,,,,,,,-1,-1,,-1,,,,,,,,,,,,,,,,,-1,,,20,-1
Tarawa,-1,-1,,,-1,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,-1,,,,,
Tatakoto,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
