"","longitude","latitude","precip_anom"
"511",18.75,73.75,0.119999997317791
"512",18.75,71.25,NA
"513",18.75,68.75,-0.139999996870756
"514",18.75,66.25,-0.0499999988824129
"515",18.75,63.75,-0.0199999995529652
"516",18.75,61.25,0
"517",18.75,58.75,-0.0499999988824129
"518",18.75,56.25,-0.0499999988824129
"519",18.75,53.75,-0.00999999977648258
"520",18.75,51.25,0.129999997094274
"521",18.75,48.75,0
"522",18.75,46.25,-0.0799999982118607
"523",18.75,43.75,-0.0799999982118607
"524",18.75,41.25,-0.0499999988824129
"525",18.75,38.75,0.0899999979883432
"526",18.75,36.25,0.119999997317791
"527",18.75,33.75,0
"528",18.75,31.25,0.0599999986588955
"529",18.75,28.75,0.0499999988824129
"530",18.75,26.25,0
"531",18.75,23.75,0.0199999995529652
"532",18.75,21.25,0.0199999995529652
"533",18.75,18.75,0
"534",18.75,16.25,-0.109999997541308
"535",18.75,13.75,-0.26999999396503
"536",18.75,11.25,-0.229999994859099
"537",18.75,8.75,-0.149999996647239
"538",18.75,6.25,-0.279999993741512
"539",18.75,3.75,-0.489999989047647
"540",18.75,1.25,-0.569999987259507
"541",18.75,-1.25,-0.469999989494681
"542",18.75,-3.75,-0.209999995306134
"543",18.75,-6.25,-0.0899999979883432
"544",18.75,-8.75,-0.149999996647239
"545",18.75,-11.25,-0.0399999991059303
"546",18.75,-13.75,-0.169999996200204
"547",18.75,-16.25,-0.459999989718199
"548",18.75,-18.75,-0.469999989494681
"549",18.75,-21.25,-0.289999993517995
"550",18.75,-23.75,-0.229999994859099
"551",18.75,-26.25,-0.219999995082617
"552",18.75,-28.75,-0.139999996870756
"553",18.75,-31.25,-0.0499999988824129
"554",18.75,-33.75,0.0299999993294477
"555",18.75,-36.25,0.0799999982118607
"556",18.75,-38.75,-0.0499999988824129
"557",18.75,-41.25,0.0799999982118607
"558",18.75,-43.75,0.0299999993294477
"559",18.75,-46.25,0.0499999988824129
"560",18.75,-48.75,0.109999997541308
"561",18.75,-51.25,0
"562",18.75,-53.75,-0.109999997541308
"563",18.75,-56.25,-0.0299999993294477
"564",18.75,-58.75,-0.149999996647239
"565",18.75,-61.25,-0.0499999988824129
"566",18.75,-63.75,-0.0599999986588955
"567",18.75,-66.25,-0.0599999986588955
