atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Marokau,0.9078,0.7676,0.0278,0.1458,0.865,0.3054,0.1804,0.0246,0.0204,0.0362,0.025,0.0192,0.0704,0.1874,0.0476,0.1042,0.313,0.055,0.0248,0.0346,0.0442,0.049,0.0494,0.0372,0.0856,0.0444,0.0312,0.0588,0.0872,0.0712,0.0452,0.2784,0.357,0.3768,0.0598,0.5272,0.6094
Marutea_Nord,0.915,0.805,0.032,0.1838,0.8806,0.3298,0.1766,0.03,0.0214,0.034,0.0248,0.023,0.0736,0.1954,0.0382,0.1134,0.422,0.053,0.045,0.036,0.0424,0.05,0.082,0.028,0.0816,0.0498,0.0422,0.07,0.1,0.0768,0.0532,0.2906,0.348,0.3108,0.045,0.51,0.6274
Meemu,0.5344,0.08,0.2154,0.0656,0.4382,0.3762,0.0692,0.1598,0.071,0.0798,0.2126,0.2588,0.5606,0.4126,0.3106,0.4478,0.1008,0.0628,0.0394,0.0628,0.0608,0.0566,0.0506,0.1672,0.1054,0.0884,0.0794,0.0496,0.1864,0.078,0.1374,0.1688,0.2868,0.1166,0.0718,0.1904,0.432
Miladhunmadulu,0.5724,0.1084,0.2498,0.0862,0.468,0.3788,0.0878,0.181,0.0692,0.077,0.2134,0.2636,0.5478,0.458,0.3832,0.4562,0.1136,0.0678,0.0424,0.0658,0.0692,0.0628,0.0514,0.154,0.1094,0.094,0.0776,0.0596,0.2444,0.0712,0.1602,0.1966,0.276,0.1122,0.0688,0.2158,0.4358
Minicoy,0.552,0.0978,0.2276,0.0852,0.4178,0.458,0.0504,0.159,0.0732,0.0854,0.2698,0.3324,0.636,0.4268,0.1742,0.5536,0.108,0.0516,0.0856,0.0558,0.0614,0.0552,0.1008,0.147,0.11,0.1166,0.1184,0.0518,0.2242,0.1096,0.1448,0.1784,0.3526,0.12,0.0756,0.1616,0.5322
Motutunga,0.8936,0.7838,0.0262,0.1466,0.8626,0.2506,0.1598,0.0272,0.022,0.0308,0.017,0.0172,0.0508,0.1766,0.0292,0.082,0.4614,0.0442,0.0438,0.0356,0.0378,0.0436,0.0768,0.0198,0.0716,0.0334,0.0474,0.0554,0.0834,0.0626,0.0426,0.2616,0.2774,0.3024,0.0418,0.4712,0.5626
Murilo,0.8778,0.8342,0.026,0.0376,0.7908,0.2246,0.061,0.0262,0.0232,0.0342,0.0212,0.0232,0.4726,0.6876,0.0494,0.1368,0.1222,0.0448,0.0272,0.0358,0.0278,0.0324,0.0292,0.0238,0.028,0.0256,0.02,0.0326,0.0894,0.0326,0.029,0.1234,0.4148,0.1372,0.0598,0.4234,0.3604
Namonuito,0.923,0.9202,0.0438,0.0884,0.8652,0.3734,0.1038,0.0376,0.0358,0.0386,0.045,0.05,0.6106,0.7886,0.0726,0.2192,0.1756,0.071,0.0628,0.0476,0.0602,0.049,0.054,0.0342,0.0398,0.044,0.0392,0.0658,0.1868,0.0666,0.0424,0.1852,0.5514,0.098,0.0468,0.5056,0.5132
Namorik,0.9162,0.8894,0.0478,0.065,0.8786,0.3874,0.11,0.0488,0.0514,0.0492,0.0496,0.0462,0.6496,0.7606,0.0442,0.2466,0.1946,0.0566,0.074,0.0494,0.0582,0.0456,0.0502,0.0596,0.0502,0.0452,0.0494,0.059,0.1326,0.0632,0.0458,0.1954,0.5868,0.0828,0.0374,0.4864,0.555
Nanumanga,0.897,0.7606,0.0374,0.1486,0.9046,0.3548,0.1976,0.0342,0.0428,0.0424,0.0244,0.0274,0.0824,0.1888,0.0332,0.1446,0.5074,0.0546,0.0644,0.0452,0.053,0.0516,0.0844,0.064,0.1092,0.0572,0.0754,0.062,0.0818,0.0908,0.0582,0.3366,0.3862,0.161,0.0182,0.5112,0.6574
Nanumea,0.9106,0.7818,0.0386,0.1592,0.906,0.371,0.2134,0.0352,0.0396,0.0446,0.0322,0.0268,0.0904,0.1786,0.038,0.1372,0.5066,0.054,0.07,0.0434,0.051,0.0526,0.0822,0.0732,0.1052,0.0548,0.074,0.0686,0.0874,0.0842,0.0642,0.3434,0.378,0.166,0.0156,0.4984,0.6626
